monitoring_location_id,time,parameter_code,parameter_name,value,unit_of_measure,statistic_id,approval_status
USGS-01357500,2024-01-05,00060,,6870,ft^3/s,00003,Approved
USGS-01357500,2024-01-06,00060,,6050,ft^3/s,00003,Approved
USGS-01357500,2024-01-07,00060,,5730,ft^3/s,00003,Approved
USGS-01357500,2024-01-12,00060,,18200,ft^3/s,00003,Approved
USGS-01357500,2024-01-15,00060,,17700,ft^3/s,00003,Approved
USGS-01357500,2024-01-19,00060,,7520,ft^3/s,00003,Approved
USGS-01357500,2024-01-21,00060,,5470,ft^3/s,00003,Approved
USGS-01357500,2024-01-24,00060,,6170,ft^3/s,00003,Approved
USGS-01357500,2024-01-25,00060,,8150,ft^3/s,00003,Approved
USGS-01357500,2024-01-29,00060,,21100,ft^3/s,00003,Approved
USGS-01357500,2024-01-30,00060,,16400,ft^3/s,00003,Approved
USGS-01357500,2024-02-01,00060,,11700,ft^3/s,00003,Approved
USGS-01357500,2024-02-02,00060,,11400,ft^3/s,00003,Approved
USGS-01357500,2024-02-03,00060,,11800,ft^3/s,00003,Approved
USGS-01357500,2024-02-04,00060,,10700,ft^3/s,00003,Approved
USGS-01357500,2024-02-07,00060,,8360,ft^3/s,00003,Approved
USGS-01357500,2024-02-08,00060,,7020,ft^3/s,00003,Approved
USGS-01357500,2024-02-10,00060,,6560,ft^3/s,00003,Approved
USGS-01357500,2024-02-11,00060,,6750,ft^3/s,00003,Approved
USGS-01357500,2024-02-12,00060,,7880,ft^3/s,00003,Approved
USGS-01357500,2024-02-14,00060,,6900,ft^3/s,00003,Approved
USGS-01357500,2024-02-15,00060,,5890,ft^3/s,00003,Approved
USGS-01357500,2024-02-17,00060,,5850,ft^3/s,00003,Approved
USGS-01357500,2024-02-18,00060,,5070,ft^3/s,00003,Approved
USGS-01357500,2024-02-19,00060,,4920,ft^3/s,00003,Approved
USGS-01357500,2024-02-20,00060,,4550,ft^3/s,00003,Approved
USGS-01357500,2024-02-22,00060,,4250,ft^3/s,00003,Approved
USGS-01357500,2024-02-23,00060,,4660,ft^3/s,00003,Approved
USGS-01357500,2024-02-24,00060,,5210,ft^3/s,00003,Approved
USGS-01357500,2024-02-25,00060,,5010,ft^3/s,00003,Approved
USGS-01357500,2024-02-27,00060,,4710,ft^3/s,00003,Approved
USGS-01357500,2024-02-29,00060,,8270,ft^3/s,00003,Approved
USGS-01357500,2024-03-01,00060,,9820,ft^3/s,00003,Approved
USGS-01357500,2024-03-02,00060,,8000,ft^3/s,00003,Approved
USGS-01357500,2024-03-03,00060,,11400,ft^3/s,00003,Approved
USGS-01357500,2024-03-05,00060,,12500,ft^3/s,00003,Approved
USGS-01357500,2024-03-06,00060,,16800,ft^3/s,00003,Approved
USGS-01357500,2024-03-08,00060,,35900,ft^3/s,00003,Approved
USGS-01357500,2024-03-11,00060,,31300,ft^3/s,00003,Approved
USGS-01357500,2024-03-13,00060,,15500,ft^3/s,00003,Approved
USGS-01357500,2024-03-14,00060,,13200,ft^3/s,00003,Approved
USGS-01357500,2024-03-15,00060,,12000,ft^3/s,00003,Approved
USGS-01357500,2024-03-16,00060,,12800,ft^3/s,00003,Approved
USGS-01357500,2024-03-18,00060,,10800,ft^3/s,00003,Approved
USGS-01357500,2024-03-19,00060,,9630,ft^3/s,00003,Approved
USGS-01357500,2024-03-21,00060,,8160,ft^3/s,00003,Approved
USGS-01357500,2024-03-22,00060,,7750,ft^3/s,00003,Approved
USGS-01357500,2024-03-24,00060,,7270,ft^3/s,00003,Approved
USGS-01357500,2024-03-25,00060,,8000,ft^3/s,00003,Approved
USGS-01357500,2024-03-26,00060,,8680,ft^3/s,00003,Approved
USGS-01357500,2024-03-27,00060,,13600,ft^3/s,00003,Approved
USGS-01357500,2024-03-28,00060,,23100,ft^3/s,00003,Approved
